Gene chr
ATPAF2 chr17
DRG2 chr17
MYO15A chr17
LLGL1 chr17
FLII chr17
SMCR7 chr17
TOP3A chr17
SMCR8 chr17
FBXW10 chr17
SLC5A10 chr17
MAPK7 chr17
MFAP4 chr17
RNF112 chr17
ALDH3A2 chr17
SLC47A2 chr17
ULK2 chr17
CYTSB chr17
KSR1 chr17
TMEM199 chr17
VTN chr17
SARM1 chr17
SLC46A1 chr17
SLC13A2 chr17
UNC119 chr17
PIGS chr17
ALDOC chr17
KIAA0100 chr17
SUPT6H chr17
PROCA1 chr17
TLCD1 chr17
TRAF4 chr17
DHRS13 chr17
PHF12 chr17
SEZ6 chr17
TIAF1 chr17
MYO18A chr17
NUFIP2 chr17
ABHD15 chr17
TP53I13 chr17
SSH2 chr17
CPD chr17
RNF135 chr17
OMG chr17
EVI2A chr17
RAB11FIP4 chr17
C17orf79 chr17
UTP6 chr17
SUZ12 chr17
LRRC37B chr17
RHBDL3 chr17
C17orf75 chr17
ZNF207 chr17
MYO1D chr17
TMEM98 chr17
NLE1 chr17
SLFN5 chr17
SLFN14 chr17
PEX12 chr17
GAS2L2 chr17
C17orf50 chr17
MMP28 chr17
TAF15 chr17
RDM1 chr17
MYO19 chr17
MRM1 chr17
LHX1 chr17
AATF chr17
ACACA chr17
TADA2A chr17
SYNRG chr17
DDX52 chr17
HNF1B chr17
SOCS7 chr17
ARHGAP23 chr17
SNIP chr17
C17orf96 chr17
CISD3 chr17
PIP4K2B chr17
CCDC49 chr17
PLXDC1 chr17
ARL5C chr17
CACNB1 chr17
STAC2 chr17
MED1 chr17
CRKRS chr17
STARD3 chr17
TCAP chr17
PNMT chr17
ERBB2 chr17
GSDMB chr17
GSDMA chr17
NR1D1 chr17
MSL1 chr17
CASC3 chr17
RAPGEFL1 chr17
WIPF2 chr17
SMARCE1 chr17
KRT10 chr17
KRT12 chr17
KRT34 chr17
HAP1 chr17
JUP chr17
NT5C3L chr17
ACLY chr17
DHX58 chr17
KAT2A chr17
HSPB9 chr17
RAB5C chr17
NAGLU chr17
HSD17B1 chr17
COASY chr17
TUBG2 chr17
PLEKHH3 chr17
CCR10 chr17
WNK4 chr17
CNTD1 chr17
BECN1 chr17
AOC2 chr17
AARSD1 chr17
RUNDC1 chr17
VAT1 chr17
NBR1 chr17
TMEM106A chr17
MPP3 chr17
CD300LG chr17
MPP2 chr17
APR2 chr17
NAGS chr17
HDAC5 chr17
ASB16 chr17
TMUB2 chr17
SLC25A39 chr17
FAM171A2 chr17
GPATCH8 chr17
GJC1 chr17
EFTUD2 chr17
GFAP chr17
C1QL1 chr17
DCAKD chr17
PLCD3 chr17
HEXIM1 chr17
HEXIM2 chr17
FMNL1 chr17
MAP3K14 chr17
ARHGAP27 chr17
SH3D20 chr17
PLEKHM1 chr17
MAPT chr17
STH chr17
KIAA1267 chr17
RPRML chr17
MYL4 chr17
ITGB3 chr17
NPEPPS chr17
TBKBP1 chr17
TBX21 chr17
OSBPL7 chr17
MRPL10 chr17
LRRC46 chr17
SP6 chr17
SP2 chr17
PNPO chr17
CDK5RAP3 chr17
HOXB2 chr17
HOXB5 chr17
HOXB6 chr17
HOXB9 chr17
B4GALNT2 chr17
ABI3 chr17
PHOSPHO1 chr17
ZNF652 chr17
NXPH3 chr17
SLC35B1 chr17
ITGA3 chr17
SAMD14 chr17
MRPL27 chr17
EME1 chr17
LRRC59 chr17
ACSF2 chr17
CHAD chr17
RSAD1 chr17
EPN3 chr17
SPATA20 chr17
CACNA1G chr17
ANKRD40 chr17
LUC7L3 chr17
WFIKKN2 chr17
NME1-NME2 chr17
HLF chr17
PCTP chr17
NOG chr17
DGKE chr17
COIL chr17
AKAP1 chr17
MRPS23 chr17
CUEDC1 chr17
VEZF1 chr17
MKS1 chr17
BZRAP1 chr17
SUPT4H1 chr17
MTMR4 chr17
SEPT4 chr17
TEX14 chr17
RNFT1 chr17
HEATR6 chr17
AP1S2 chr17
CA4 chr17
APPBP2 chr17
BCAS3 chr17
TBX2 chr17
C17orf82 chr17
TBX4 chr17
INTS2 chr17
MED13 chr17
TLK2 chr17
MRC2 chr17
MARCH10 chr17
CYB561 chr17
ACE chr17
TACO1 chr17
MAP3K3 chr17
STRADA chr17
DDX42 chr17
C17orf72 chr17
ERN1 chr17
POLG2 chr17
DDX5 chr17
CCDC45 chr17
PLEKHM1P chr17
LRRC37A3 chr17
AXIN2 chr17
CACNG4 chr17
CACNG1 chr17
HELZ chr17
PSMD12 chr17
NOL11 chr17
BPTF chr17
KPNA2 chr17
AMZ2 chr17
WIPI1 chr17
ABCA9 chr17
SSTR2 chr17
COG1 chr17
FAM104A chr17
C17orf80 chr17
SDK2 chr17
TTYH2 chr17
BTBD17 chr17
CD300LB chr17
CD300E chr17
CD300LF chr17
RAB37 chr17
NAT9 chr17
TMEM104 chr17
FADS6 chr17
OTOP2 chr17
CDR2L chr17
ICT1 chr17
ARMC7 chr17
NT5C chr17
HN1 chr17
NUP85 chr17
GGA3 chr17
MIF4GD chr17
GRB2 chr17
KIAA0195 chr17
TSEN54 chr17
LLGL2 chr17
KIAA1783 chr17
RECQL5 chr17
SAP30BP chr17
ITGB4 chr17
UNK chr17
UNC13D chr17
WBP2 chr17
TRIM47 chr17
TRIM65 chr17
FBF1 chr17
C17orf106 chr17
EVPL chr17
SRP68 chr17
GALR2 chr17
EXOC7 chr17
FOXJ1 chr17
RNF157 chr17
QRICH2 chr17
RHBDF2 chr17
ST6GALNAC2 chr17
MGAT5B chr17
SEC14L1 chr17
FLJ45079 chr17
TNRC6C chr17
TMC6 chr17
TMC8 chr17
AFMID chr17
PGS1 chr17
DNEL2 chr17
USP36 chr17
AK057217 chr17
LGALS3BP chr17
ENGASE chr17
CBX2 chr17
CBX8 chr17
TBC1D16 chr17
CCDC40 chr17
GAA chr17
CARD14 chr17
SGSH chr17
SLC26A11 chr17
KIAA1618 chr17
RNF213 chr17
FLJ35220 chr17
NPTX1 chr17
RPTOR chr17
CHMP6 chr17
BAIAP2 chr17
AATK chr17
LOC388428 chr17
C17orf56 chr17
SLC38A10 chr17
C17orf55 chr17
BAHCC1 chr17
FSCN2 chr17
C17orf70 chr17
TSPAN10 chr17
CCDC137 chr17
HGS chr17
GCGR chr17
P4HB chr17
THOC4 chr17
ANAPC11 chr17
NPB chr17
SIRT7 chr17
PYCR1 chr17
MYADML2 chr17
LRRC45 chr17
FASN chr17
CCDC57 chr17
UTS2R chr17
HEXDC chr17
NARF chr17
RAB40B chr17
FN3KRP chr17
TBCD chr17
B3GNTL1 chr17
METRNL chr17
MYL12B chr18
DLGAP1 chr18
EPB41L3 chr18
RALBP1 chr18
RP11-78A19 chr18
CIDEA chr18
AP005482 chr18
CABLES1 chr18
AQP4-AS1 chr18
ZBTB7C chr18
RP11-456O19 chr18
RP11-383D22 chr18
RP11-685A21 chr18
RP11-760L24 chr18
RP11-325K19 chr18
RNF152 chr18
RBFADN chr18
C18orf56 chr18
MPPE1 chr18
IMPA2 chr18
CDH2 chr18
BC2028 chr18
ELP2 chr18
LIPG chr18
ZNF407 chr18
CLUL1 chr18
ENOSF1 chr18
SMCHD1 chr18
EMILIN2 chr18
LPIN2 chr18
LOC727896 chr18
MYOM1 chr18
TGIF1 chr18
TMEM200C chr18
ARHGAP28 chr18
LAMA1 chr18
KIAA0802 chr18
ANKRD12 chr18
PPP4R1 chr18
TXNDC2 chr18
APCDD1 chr18
NAPG chr18
TUBB6 chr18
AFG3L2 chr18
SLMO1 chr18
SPIRE1 chr18
PSMG2 chr18
SEH1L chr18
CEP192 chr18
C18orf1 chr18
C18orf19 chr18
MC5R chr18
ANKRD20A5 chr18
ANKRD30B chr18
ESCO1 chr18
GATA6 chr18
C18orf45 chr18
RIOK3 chr18
C18orf8 chr18
NPC1 chr18
LAMA3 chr18
CABYR chr18
OSBPL1A chr18
ZNF521 chr18
TTR chr18
KIAA1012 chr18
FAM59A chr18
ASXL3 chr18
DTNA chr18
ZNF397OS chr18
ZNF24 chr18
ZNF396 chr18
SLC39A6 chr18
MOCOS chr18
FHOD3 chr18
KIAA1328 chr18
PIK3C3 chr18
SYT4 chr18
SETBP1 chr18
SLC14A1 chr18
SIGLEC15 chr18
KIAA1632 chr18
ATP5A1 chr18
C18orf25 chr18
LOXHD1 chr18
ST8SIA5 chr18
SMAD7 chr18
MYO5B chr18
CXXC1 chr18
MAPK4 chr18
MRO chr18
ME2 chr18
MEX3C chr18
POLI chr18
C18orf54 chr18
RAB27B chr18
TXNL1 chr18
WDR7 chr18
ST8SIA3 chr18
ONECUT2 chr18
FECH chr18
ATP8B1 chr18
NEDD4L chr18
MALT1 chr18
ZNF532 chr18
CCBE1 chr18
MC4R chr18
CDH20 chr18
KIAA1468 chr18
ZCCHC2 chr18
PHLPP1 chr18
BCL2 chr18
KDSR chr18
SERPINB12 chr18
DSEL chr18
RTTN chr18
CBLN2 chr18
NETO1 chr18
FBXO15 chr18
DKFZp781G0119 chr18
CNDP2 chr18
CNDP1 chr18
ZADH2 chr18
ZNF516 chr18
FLJ44313 chr18
ZNF236 chr18
MBP chr18
ATP9B chr18
CTDP1 chr18
KCNG2 chr18
PQLC1 chr18
C18orf22 chr18
ADNP2 chr18
MIER2 chr19
MADCAM1 chr19
MED16 chr19
ABCA7 chr19
AK126693 chr19
MBD3 chr19
TCF3 chr19
AC005306 chr19
TLE2 chr19
RAX2 chr19
GTF2F1 chr19
MCOLN1 chr19
PCP2 chr19
FCER2 chr19
ZNF177 chr19
ZNF846 chr19
ZNF833 chr19
ZNF439 chr19
ZNF700 chr19
ZNF788 chr19
ZNF44 chr19
AC008686 chr19
OR7A5 chr19
ILVBL chr19
TPM4 chr19
AP1M1 chr19
CTD-2562J15 chr19
BST2 chr19
UNC13A chr19
IL12RB1 chr19
KXD1 chr19
AC005253 chr19
AK023040 chr19
LOC284395 chr19
USF2 chr19
AD000090 chr19
TMEM147 chr19
AC092295 chr19
ZNF567 chr19
CTD-3064H18 chr19
ZNF571 chr19
FAM98C chr19
SARS2 chr19
PLEKHG2 chr19
ZNF780B chr19
CEACAM4 chr19
LOC100289650 chr19
ZNF226 chr19
ZNF233 chr19
ERCC1 chr19
BC007358 chr19
SIX5 chr19
CCDC9 chr19
CTD-2571L23 chr19
MAMSTR chr19
NTF5 chr19
RPL13A chr19
NOSIP chr19
PRRG2 chr19
PNKP chr19
NUP62 chr19
ZNF473 chr19
NR1H2 chr19
CLEC11A chr19
KLK6 chr19
KLK7 chr19
KLK10 chr19
ZNF578 chr19
ZNF83 chr19
ZNF160 chr19
LENG1 chr19
MBOAT7 chr19
RPS9 chr19
ZNF667 chr19
ZNF667-AS1 chr19
SMIM17 chr19
AURKC chr19
ZNF805 chr19
ZNF419 chr19
ZNF587 chr19
MZF1 chr19
SBNO2 chr19
GAMT chr19
JSRP1 chr19
ZNF554 chr19
ZNF77 chr19
MRPL54 chr19
STAP2 chr19
KIAA1588 chr19
ZNF561 chr19
RDH8 chr19
LDLR chr19
C19orf39 chr19
ZNF491 chr19
ZNF844 chr19
ZNF20 chr19
ZNF442 chr19
AX747991 chr19
MRI1 chr19
C19orf57 chr19
AKAP8L chr19
CALR3 chr19
PDE4C chr19
COPE chr19
DDX49 chr19
PBX4 chr19
ZNF486 chr19
ZNF100 chr19
ZNF43 chr19
ZNF676 chr19
ZNF792 chr19
FAM187B chr19
LIN37 chr19
C19orf55 chr19
ZNF790 chr19
ZNF345 chr19
HKR1 chr19
ZNF540 chr19
BC042630 chr19
CATSPERG chr19
PSG3 chr19
PSG9 chr19
SRRM5 chr19
ZNF221 chr19
ZNF284 chr19
ZNF227 chr19
PNMAL2 chr19
GLTSCR2 chr19
FUT2 chr19
PPP1R15A chr19
VRK3 chr19
NAPSB chr19
SIGLEC12 chr19
hCG_2008157 chr19
SIGLEC5 chr19
ZNF766 chr19
ZNF701 chr19
ZNF761 chr19
EPS8L1 chr19
PEG3 chr19
ZNF543 chr19
ZNF547 chr19
ZNF17 chr19
ZNF749 chr19
ZNF772 chr19
ZNF211 chr19
ZNF154 chr19
ZNF586 chr19
ZNF418 chr19
AK094748 chr19
ZNF544 chr19
SLC27A5 chr19
B3GNT8 chr19
C19orf68 chr19
ZNF114 chr19
HRC chr19
TMC4 chr19
PTPRH chr19
SUV420H2 chr19
THEG chr19
C2CD4C chr19
SHC2 chr19
C19orf20 chr19
GZMM chr19
BSG chr19
POLRMT chr19
RNF126 chr19
PALM chr19
PRG2 chr19
PRTN3 chr19
CFD chr19
C19orf22 chr19
WDR18 chr19
GRIN3B chr19
C19orf6 chr19
CNN2 chr19
HMHA1 chr19
GPX4 chr19
STK11 chr19
C19orf26 chr19
ATP5D chr19
MIDN chr19
C19orf24 chr19
MUM1 chr19
APC2 chr19
PCSK4 chr19
ADAMTSL5 chr19
MEX3D chr19
ONECUT3 chr19
REXO1 chr19
KLF16 chr19
ADAT3 chr19
BTBD2 chr19
MKNK2 chr19
C19orf36 chr19
AP3D1 chr19
DOT1L chr19
PLEKHJ1 chr19
AMH chr19
LSM7 chr19
SPPL2B chr19
TMPRSS9 chr19
LMNB2 chr19
SLC39A3 chr19
THOP1 chr19
ZNF555 chr19
ZNF556 chr19
ZNF57 chr19
TLE6 chr19
BRUNOL5 chr19
NFIC chr19
C19orf71 chr19
C19orf28 chr19
HMG20B chr19
C19orf29 chr19
APBA3 chr19
ZFR2 chr19
DAPK3 chr19
ANKRD24 chr19
CCDC94 chr19
FSD1 chr19
MPND chr19
SH3GL1 chr19
CHAF1A chr19
UBXN6 chr19
PLIN4 chr19
PLIN5 chr19
LRG1 chr19
SEMA6B chr19
C19orf10 chr19
DPP9 chr19
UHRF1 chr19
PTPRS chr19
SAFB2 chr19
SAFB chr19
C19orf70 chr19
HSD11B1L chr19
LONP1 chr19
PRR22 chr19
DUS3L chr19
NRTN chr19
NDUFA11 chr19
VMAC chr19
CAPS chr19
RANBP3 chr19
MLLT1 chr19
ALKBH7 chr19
PSPN chr19
SLC25A41 chr19
DENND1C chr19
GPR108 chr19
TRIP10 chr19
EMR1 chr19
INSR chr19
ARHGEF18 chr19
C19orf45 chr19
KIAA1543 chr19
XAB2 chr19
BC150497 chr19
STXBP2 chr19
RETN chr19
DKFZp761K0816 chr19
SNAPC2 chr19
TIMM44 chr19
FBN3 chr19
LASS4 chr19
NDUFA7 chr19
KANK3 chr19
ANGPTL4 chr19
MARCH2 chr19
HNRNPM chr19
PRAM1 chr19
ZNF414 chr19
MYO1F chr19
ADAMTS10 chr19
OR2Z1 chr19
MUC16 chr19
OR1M1 chr19
OR7G1 chr19
OR7G3 chr19
ZNF317 chr19
ZNF559 chr19
ZNF266 chr19
ZNF121 chr19
ZNF562 chr19
FBXL12 chr19
PIN1 chr19
OLFM2 chr19
COL5A3 chr19
ANGPTL6 chr19
PPAN-P2RY11 chr19
DNMT1 chr19
ICAM4 chr19
ICAM5 chr19
FDX1L chr19
RAVER1 chr19
ICAM3 chr19
TYK2 chr19
PDE4A chr19
KEAP1 chr19
S1PR5 chr19
ATG4D chr19
KRI1 chr19
SLC44A2 chr19
ILF3 chr19
QTRT1 chr19
DNM2 chr19
TMED1 chr19
C19orf38 chr19
YIPF2 chr19
C19orf52 chr19
SMARCA4 chr19
DOCK6 chr19
RAB3D chr19
LPPR2 chr19
EPOR chr19
CCDC151 chr19
PRKCSH chr19
ZNF653 chr19
ECSIT chr19
ZNF627 chr19
ZNF441 chr19
ZNF440 chr19
ZNF69 chr19
ZNF878 chr19
ZNF136 chr19
ZNF443 chr19
ZNF490 chr19
MAN2B1 chr19
MORG1 chr19
DHPS chr19
FBXW9 chr19
BEST2 chr19
HOOK2 chr19
RTBDN chr19
MAST1 chr19
KLF1 chr19
RAD23A chr19
GADD45GIP1 chr19
DAND5 chr19
TRMT1 chr19
STX10 chr19
CACNA1A chr19
CCDC130 chr19
C19orf53 chr19
ZSWIM4 chr19
CC2D1A chr19
RFX1 chr19
IL27RA chr19
PALM3 chr19
LOC113230 chr19
SAMD1 chr19
LPHN1 chr19
CD97 chr19
DDX39 chr19
PKN1 chr19
PTGER1 chr19
DNAJB1 chr19
EMR3 chr19
ZNF333 chr19
CCDC105 chr19
CASP14 chr19
NOTCH3 chr19
EPHX3 chr19
BRD4 chr19
AKAP8 chr19
RASAL3 chr19
PGLYRP2 chr19
CYP4F22 chr19
CYP4F12 chr19
OR10H3 chr19
CYP4F2 chr19
OR10H4 chr19
CIB3 chr19
KLF2 chr19
EPS15L1 chr19
C19orf44 chr19
MED26 chr19
TMEM38A chr19
NWD1 chr19
CPAMD8 chr19
MYO9B chr19
USE1 chr19
OCEL1 chr19
C19orf62 chr19
ANKLE1 chr19
ABHD8 chr19
ANO8 chr19
PLVAP chr19
FAM125A chr19
NXNL1 chr19
SLC27A1 chr19
FAM129C chr19
GLT25D1 chr19
MAP1S chr19
FCHO1 chr19
ARRDC2 chr19
MAST3 chr19
PIK3R2 chr19
IFI30 chr19
KIAA1683 chr19
JUND chr19
GDF15 chr19
LRRC25 chr19
ELL chr19
FKBP8 chr19
COMP chr19
LASS1 chr19
HOMER3 chr19
YJEFN3 chr19
LPAR2 chr19
GMIP chr19
ATP13A1 chr19
ZNF101 chr19
ZNF14 chr19
ZNF506 chr19
ZNF93 chr19
ZNF682 chr19
ZNF90 chr19
ZNF737 chr19
ZNF626 chr19
ZNF85 chr19
ZNF714 chr19
ZNF708 chr19
ZNF493 chr19
ZNF429 chr19
ZNF208 chr19
ZNF91 chr19
ZNF681 chr19
ZNF254 chr19
VSTM2B chr19
PLEKHF1 chr19
C19orf12 chr19
CCNE1 chr19
C19orf2 chr19
TSHZ3 chr19
ZNF507 chr19
DPY19L3 chr19
ANKRD27 chr19
RGS9BP chr19
NUDT19 chr19
CCDC123 chr19
C19orf40 chr19
RHPN2 chr19
GPATCH1 chr19
SLC7A10 chr19
CEBPA chr19
PEPD chr19
KCTD15 chr19
LSM14A chr19
KIAA0355 chr19
GPI chr19
PDCD2L chr19
UBA2 chr19
ZNF302 chr19
ZNF181 chr19
ZNF599 chr19
ZNF30 chr19
GRAMD1A chr19
SCN1B chr19
LOC100128675 chr19
FXYD3 chr19
FXYD1 chr19
LSR chr19
MAG chr19
DMKN chr19
SBSN chr19
GAPDHS chr19
HAUS5 chr19
ETV2 chr19
COX6B1 chr19
ZBTB32 chr19
MLL4 chr19
TMEM149 chr19
U2AF1L4 chr19
HSPB6 chr19
SNX26 chr19
NPHS1 chr19
APLP1 chr19
LRFN3 chr19
CLIP3 chr19
THAP8 chr19
WDR62 chr19
POLR2I chr19
TBCB chr19
ZNF565 chr19
ZFP14 chr19
ZFP82 chr19
ZNF566 chr19
ZNF260 chr19
ZNF529 chr19
ZNF461 chr19
BC052603 chr19
ZNF420 chr19
ZNF585A chr19
ZNF585B chr19
ZNF383 chr19
ZNF569 chr19
ZFP30 chr19
ZNF781 chr19
ZNF607 chr19
ZNF573 chr19
SIPA1L3 chr19
PPP1R14A chr19
YIF1B chr19
KCNK6 chr19
PSMD8 chr19
GGN chr19
RYR1 chr19
CAPN12 chr19
RINL chr19
SIRT2 chr19
NFKBIB chr19
FBXO27 chr19
PAPL chr19
PAK4 chr19
NCCRP1 chr19
LRFN1 chr19
SAMD4B chr19
PAF1 chr19
MED29 chr19
ZFP36 chr19
SUPT5H chr19
TIMM50 chr19
DLL3 chr19
EID2 chr19
CLC chr19
DYRK1B chr19
FBL chr19
ZNF546 chr19
ZNF780A chr19
MAP3K10 chr19
AKT2 chr19
C19orf47 chr19
PLD3 chr19
HIPK4 chr19
PRX chr19
SERTAD3 chr19
SPTBN4 chr19
LTBP4 chr19
ADCK4 chr19
ITPKC chr19
HNRNPUL1 chr19
CCDC97 chr19
EXOSC5 chr19
BCKDHA chr19
ATP5SL chr19
ATP1A3 chr19
GRIK5 chr19
ZNF574 chr19
ZNF526 chr19
ERF chr19
CIC chr19
TMEM145 chr19
MEGF8 chr19
LIPE chr19
PSG5 chr19
TEX101 chr19
ETHE1 chr19
XRCC1 chr19
IRGQ chr19
ZNF576 chr19
ZNF428 chr19
CADM4 chr19
ZNF283 chr19
ZNF404 chr19
ZNF45 chr19
ZNF155 chr19
ZNF230 chr19
ZNF222 chr19
ZNF223 chr19
ZNF224 chr19
ZNF225 chr19
ZNF234 chr19
ZNF235 chr19
ZFP112 chr19
ZNF229 chr19
ZNF180 chr19
CEACAM20 chr19
PVR chr19
CEACAM19 chr19
CBLC chr19
BCAM chr19
PVRL2 chr19
APOE chr19
APOC2 chr19
CLPTM1 chr19
SFRS16 chr19
LRRC68 chr19
NKPD1 chr19
BLOC1S3 chr19
MARK4 chr19
CKM chr19
KLC3 chr19
ERCC2 chr19
FOSB chr19
FLJ40125 chr19
EML2 chr19
GIPR chr19
QPCTL chr19
FBXO46 chr19
DMPK chr19
DMWD chr19
SYMPK chr19
IRF2BP1 chr19
CCDC61 chr19
IGFL3 chr19
HIF3A chr19
CCDC8 chr19
PNMAL1 chr19
BC132841 chr19
PTGIR chr19
PRKD2 chr19
STRN4 chr19
FKRP chr19
SLC1A5 chr19
GRLF1 chr19
NPAS1 chr19
TMEM160 chr19
ZC3H4 chr19
BBC3 chr19
DHX34 chr19
MEIS3 chr19
ZNF541 chr19
GLTSCR1 chr19
SEPW1 chr19
ELSPBP1 chr19
PLA2G4C chr19
LIG1 chr19
CARD8 chr19
SYNGR4 chr19
GRIN2D chr19
GRWD1 chr19
KCNJ14 chr19
LMTK3 chr19
FAM83E chr19
SPHK2 chr19
DBP chr19
Sec1 chr19
RASIP1 chr19
BCAT2 chr19
HSD17B14 chr19
PLEKHA4 chr19
TULP2 chr19
NUCB1 chr19
BAX chr19
GYS1 chr19
KCNA7 chr19
SNRNP70 chr19
C19orf73 chr19
PPFIA3 chr19
TRPM4 chr19
SLC6A16 chr19
CD37 chr19
SLC17A7 chr19
PIH1D1 chr19
FCGRT chr19
RCN3 chr19
PRR12 chr19
RRAS chr19
SCAF1 chr19
CPT1C chr19
FUZ chr19
MED25 chr19
PTOV1 chr19
TBC1D17 chr19
IL4I1 chr19
SIGLEC11 chr19
MYH14 chr19
KCNC3 chr19
POLD1 chr19
C19orf63 chr19
ASPDH chr19
SHANK1 chr19
ACPT chr19
C19orf48 chr19
KLK9 chr19
KLK14 chr19
CTU1 chr19
SIGLEC9 chr19
CD33 chr19
VSIG10L chr19
ETFB chr19
CLDND2 chr19
SIGLEC8 chr19
ZNF175 chr19
FPR1 chr19
FPR2 chr19
FPR3 chr19
ZNF577 chr19
ZNF649 chr19
ZNF350 chr19
ZNF615 chr19
ZNF614 chr19
ZNF432 chr19
ZNF841 chr19
ZNF616 chr19
ZNF836 chr19
ZNF480 chr19
ZNF610 chr19
ZNF880 chr19
ZNF528 chr19
ZNF534 chr19
ZNF808 chr19
ZNF611 chr19
ZNF600 chr19
ZNF28 chr19
ZNF468 chr19
ZNF320 chr19
ZNF816A chr19
ZNF415 chr19
ZNF665 chr19
ZNF677 chr19
ZNF845 chr19
ZNF765 chr19
ZNF813 chr19
CACNG8 chr19
OSCAR chr19
NDUFA3 chr19
LILRB3 chr19
LAIR1 chr19
TTYH1 chr19
LENG8 chr19
LENG9 chr19
CDC42EP5 chr19
KIR3DX1 chr19
LILRA1 chr19
LILRB1 chr19
LILRB4 chr19
KIR3DL3 chr19
KIR2DL4 chr19
KIR3DL2 chr19
RDH13 chr19
PPP1R12C chr19
SYT5 chr19
SAPS1 chr19
HSPBP1 chr19
BRSK1 chr19
TMEM150B chr19
COX6B2 chr19
TMEM190 chr19
BC052596 chr19
SHISA7 chr19
ZNF628 chr19
ZNF580 chr19
EPN1 chr19
NLRP9 chr19
NLRP11 chr19
NLRP4 chr19
NLRP8 chr19
ZNF787 chr19
ZNF542 chr19
ZNF582 chr19
ZNF471 chr19
ZFP28 chr19
ZNF470 chr19
ZNF71 chr19
ZNF835 chr19
ZIM3 chr19
ZNF264 chr19
ZNF304 chr19
VN1R1 chr19
ZNF773 chr19
ZNF549 chr19
ZNF550 chr19
ZNF416 chr19
ZNF530 chr19
ZNF551 chr19
ZNF552 chr19
ZF6 chr19
ZNF814 chr19
ZNF256 chr19
ZNF606 chr19
ZSCAN1 chr19
ZNF135 chr19
ZSCAN18 chr19
ZNF329 chr19
ZSCAN22 chr19
A1BG chr19
ZNF497 chr19
ZNF837 chr19
ZNF584 chr19
ZNF132 chr19
ZNF324 chr19
ZNF446 chr19
ZBTB45 chr19
TRIM28 chr19
AGRN chr1
C1orf159 chr1
CPSF3L chr1
RP5-1092A11 chr1
TP73-AS1 chr1
NPHP4 chr1
THAP3 chr1
RP3-453P22 chr1
ERRFI1 chr1
EF609116 chr1
RP3-510D11 chr1
RP11-84A14 chr1
KIF1B chr1
RP4-635E18 chr1
MAD2L2 chr1
ESPN chr1
CAPZB chr1
IL22RA1 chr1
RCAN3 chr1
MTFR1L chr1
UBXN11 chr1
FCN3 chr1
MTMR9LP chr1
SYNC chr1
ZMYM4 chr1
KIAA0319L chr1
RRAGC chr1
RP11-420K8 chr1
PPIEL chr1
HYI chr1
TMEM53 chr1
GPBP1L1 chr1
LOC729041 chr1
CDKN2C chr1
EPS15 chr1
TXNDC12-AS1 chr1
CC2D1B chr1
ACOT11 chr1
DHCR24 chr1
RP4-794H19 chr1
PGM1 chr1
PDE4B chr1
FPGT chr1
TYW3 chr1
FUBP1 chr1
SEP15 chr1
CCBL2 chr1
BCAR3 chr1
RP11-86H7 chr1
AGL chr1
COL11A1 chr1
PSRC1 chr1
GSTM4 chr1
EMBP1 chr1
RP11-315I20 chr1
POLR3C chr1
RP11-196G18 chr1
PI4KB chr1
SELENBP1 chr1
LOC100132111 chr1
S100A8 chr1
FAM189B chr1
ARHGEF2 chr1
RHBG chr1
IQGAP3 chr1
B4GALT3 chr1
FCGR2A chr1
HSD17B7 chr1
MGST3 chr1
UCK2 chr1
BLZF1 chr1
BAT2D1 chr1
DNM3OS chr1
RABGAP1L chr1
SEC16B chr1
RGS1 chr1
PHLDA3 chr1
DSTYK chr1
KLHDC8A chr1
VASH2 chr1
LOC728463 chr1
CNIH4 chr1
RNF187 chr1
CAPN9 chr1
TRIM67 chr1
RP4-781K5 chr1
ADSS chr1
KIAA1751 chr1
BC018779 chr1
KIAA0495 chr1
TAS1R1 chr1
C1orf167 chr1
C1orf158 chr1
KIAA1922 chr1
C1orf213 chr1
C1orf216 chr1
COL9A2 chr1
CITED4 chr1
MOBKL2C chr1
CYP4B1 chr1
SLC5A9 chr1
AK296298 chr1
MCOLN2 chr1
EPHX4 chr1
KCNA3 chr1
OLFML3 chr1
IGSF3 chr1
PDE4DIP chr1
NBPF10 chr1
HFE2 chr1
ITGA10 chr1
CHD1L chr1
TCHHL1 chr1
TCHH chr1
S100A2 chr1
S100A16 chr1
PMVK chr1
KRTCAP2 chr1
C1orf104 chr1
CR598521 chr1
RAB25 chr1
PEAR1 chr1
OR10J1 chr1
CRP chr1
UAP1 chr1
ZBTB41 chr1
GPR25 chr1
AK123177 chr1
TP53BP2 chr1
URB2 chr1
LGALS8 chr1
FMN2 chr1
OR2L2 chr1
NPPA chr1
LOC100130557 chr1
MMACHC chr1
KTI12 chr1
PAQR6 chr1
UCHL5 chr1
DNAH14 chr1
COG2 chr1
AGT chr1
PLD5 chr1
SAMD11 chr1
NOC2L chr1
PLEKHN1 chr1
C1orf170 chr1
HES4 chr1
TTLL10 chr1
TNFRSF18 chr1
SDF4 chr1
B3GALT6 chr1
UBE2J2 chr1
SCNN1D chr1
ACAP3 chr1
PUSL1 chr1
GLTPD1 chr1
TAS1R3 chr1
DVL1 chr1
MXRA8 chr1
CCNL2 chr1
LOC441869 chr1
TMEM88B chr1
VWA1 chr1
ATAD3C chr1
ATAD3B chr1
ATAD3A chr1
MIB2 chr1
